car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarBrand_alfa-romero,CarBrand_audi,CarBrand_bmw,CarBrand_buick,CarBrand_chevrolet,CarBrand_dodge,CarBrand_honda,CarBrand_isuzu,CarBrand_jaguar,CarBrand_mazda,CarBrand_mercury,CarBrand_mitsubishi,CarBrand_nissan,CarBrand_peugeot,CarBrand_plymouth,CarBrand_porcshce,CarBrand_porsche,CarBrand_renault,CarBrand_saab,CarBrand_subaru,CarBrand_toyota,CarBrand_toyouta,CarBrand_volkswagen,CarBrand_volvo,CarBrand_vw,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,cluster
4,0.8,audi 100 ls,0.4551724137931034,0.5298507462686568,0.4916666666666671,0.5416666666666665,0.3293250581846392,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1999999999999999,0.339622641509434,0.7297297297297294,0.4399999999999999,0.4117647058823529,0.2767784393607019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11,0.8,bmw 320i,0.5034482758620689,0.5328358208955226,0.375,0.5416666666666665,0.351823118696664,0.2716763005780347,0.6857142857142857,0.2430939226519337,0.12,0.3333333333333333,0.8918918918918917,0.4,0.3823529411764705,0.3544970228768411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,0.4,bmw 320i,0.5034482758620689,0.5328358208955226,0.375,0.5416666666666665,0.351823118696664,0.2716763005780347,0.6857142857142857,0.2430939226519337,0.12,0.3333333333333333,0.8918918918918917,0.4,0.3823529411764705,0.3700094014415543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0.6000000000000001,chevrolet monte carlo,0.272413793103448,0.2208955223880599,0.2750000000000003,0.3500000000000001,0.1497284716834755,0.1676300578034681,0.3499999999999998,0.4143646408839778,0.1733333333333333,0.1383647798742138,0.6756756756756754,1.0,0.7941176470588235,0.0368849890316515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0.4,chevrolet vega 2300,0.272413793103448,0.2641791044776123,0.2750000000000003,0.3500000000000001,0.1633048875096974,0.1676300578034681,0.3499999999999998,0.4143646408839778,0.1733333333333333,0.1383647798742138,0.6756756756756754,1.0,0.7941176470588235,0.0456596678157317,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0.6000000000000001,dodge rampage,0.2448275862068967,0.2417910447761198,0.2916666666666669,0.2499999999999995,0.1505042668735453,0.1676300578034681,0.3071428571428571,0.4806629834254143,0.1606666666666666,0.1257861635220125,0.7297297297297294,0.96,0.7352941176470588,0.0142275148856158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0.6000000000000001,dodge challenger se,0.2448275862068967,0.2417910447761198,0.2916666666666669,0.2499999999999995,0.1505042668735453,0.1676300578034681,0.3071428571428571,0.4806629834254143,0.16,0.1257861635220125,0.7297297297297294,0.72,0.6470588235294118,0.0394547163898464,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,0.6000000000000001,dodge monaco (sw),0.2448275862068967,0.2417910447761198,0.2916666666666669,0.2333333333333338,0.1858029480217222,0.1676300578034681,0.3071428571428571,0.4806629834254143,0.16,0.1257861635220125,0.7297297297297294,0.72,0.6470588235294118,0.0348166718896897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0.6000000000000001,dodge colt hardtop,0.2448275862068967,0.2417910447761198,0.2916666666666669,0.2333333333333338,0.1943366951124903,0.1676300578034681,0.3071428571428571,0.4806629834254143,0.16,0.1257861635220125,0.7297297297297294,0.72,0.6470588235294118,0.0493262300219367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27,0.6000000000000001,dodge colt (sw),0.2448275862068967,0.2417910447761198,0.2916666666666669,0.2333333333333338,0.1943366951124903,0.1676300578034681,0.3071428571428571,0.4806629834254143,0.16,0.1257861635220125,0.7297297297297294,0.72,0.6470588235294118,0.0780633030397994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29,0.2,dodge dart custom,0.5758620689655172,0.5,0.3583333333333334,0.9999999999999996,0.4061287820015515,0.3526011560693641,0.5714285714285714,0.6077348066298343,0.0999999999999999,0.2515723270440251,0.4594594594594592,0.4399999999999999,0.4117647058823529,0.1191789407709182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31,0.8,honda civic,0.0,0.0522388059701492,0.2999999999999998,0.2499999999999995,0.0872769588828549,0.1791907514450866,0.2642857142857144,0.5801104972375692,0.1733333333333333,0.0628930817610062,0.3513513513513513,0.4399999999999999,0.4117647058823529,0.0426512065183328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,0.8,honda civic cvcc,0.0,0.0522388059701492,0.2999999999999998,0.2499999999999995,0.1283941039565554,0.1791907514450866,0.2642857142857144,0.5801104972375692,0.1466666666666666,0.1761006289308175,1.0,0.72,0.6470588235294118,0.0544343465998119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
33,0.6000000000000001,honda civic,0.2448275862068967,0.1328358208955222,0.3083333333333335,0.3999999999999999,0.1353762606671839,0.1040462427745664,0.2642857142857144,0.3922651933701657,0.2066666666666666,0.0754716981132075,0.7297297297297294,1.0,0.7647058823529412,0.0088060169225948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0.6000000000000001,honda accord cvcc,0.2448275862068967,0.1328358208955222,0.3083333333333335,0.3999999999999999,0.1753297129557797,0.1791907514450866,0.2642857142857144,0.5801104972375692,0.1466666666666666,0.1761006289308175,1.0,0.6799999999999999,0.5294117647058824,0.0442181134440614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0.6000000000000001,honda civic cvcc,0.2448275862068967,0.1328358208955222,0.3083333333333335,0.3999999999999999,0.1815360744763382,0.1791907514450866,0.2642857142857144,0.5801104972375692,0.1466666666666666,0.1761006289308175,1.0,0.6799999999999999,0.5294117647058824,0.0630209965528047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36,0.4,honda accord lx,0.3413793103448275,0.3328358208955224,0.3083333333333335,0.5583333333333331,0.2024825446082234,0.1791907514450866,0.2642857142857144,0.5801104972375692,0.1466666666666666,0.1761006289308175,1.0,0.6799999999999999,0.5294117647058824,0.0682231275462237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37,0.4,honda civic 1500 gl,0.3413793103448275,0.2388059701492535,0.2999999999999998,0.8749999999999996,0.2079131109387121,0.1791907514450866,0.2714285714285716,0.5801104972375692,0.1466666666666666,0.1761006289308175,1.0,0.6799999999999999,0.5294117647058824,0.0682231275462237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
38,0.4,honda accord,0.3413793103448275,0.3940298507462687,0.4083333333333341,0.4583333333333335,0.2901474010861132,0.2832369942196532,0.4357142857142857,0.6740331491712708,0.1333333333333333,0.2389937106918238,0.8918918918918917,0.56,0.5,0.0870260106549671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
39,0.4,honda civic 1300,0.3413793103448275,0.3940298507462687,0.4083333333333341,0.4583333333333335,0.3107059736229635,0.2832369942196532,0.4357142857142857,0.6740331491712708,0.1333333333333333,0.2389937106918238,0.8918918918918917,0.56,0.5,0.1246317768724538,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0.4,honda prelude,0.3413793103448275,0.5119402985074628,0.4083333333333341,0.5249999999999999,0.3165244375484872,0.2832369942196532,0.4357142857142857,0.6740331491712708,0.1333333333333333,0.2389937106918238,0.8918918918918917,0.56,0.5,0.1167972422438107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
41,0.4,honda accord,0.3413793103448275,0.5119402985074628,0.1833333333333335,0.5249999999999999,0.3429014740108611,0.2832369942196532,0.4357142857142857,0.6740331491712708,0.1333333333333333,0.2389937106918238,0.8918918918918917,0.56,0.5,0.1622375430899404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
42,0.4,honda civic,0.3413793103448275,0.5119402985074628,0.4083333333333341,0.5249999999999999,0.3789759503491078,0.2832369942196532,0.4357142857142857,0.6740331491712708,0.1333333333333333,0.3333333333333333,0.8918918918918917,0.4399999999999999,0.3529411764705882,0.2452836101535568,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,0.6000000000000001,honda civic (auto),0.3413793103448275,0.4179104477611939,0.4750000000000005,0.266666666666667,0.3122575640031032,0.2832369942196532,0.4357142857142857,0.6740331491712708,0.14,0.3270440251572327,0.7297297297297294,0.48,0.4411764705882353,0.163804450015669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
44,0.4,isuzu MU-X,0.2655172413793103,0.4417910447761191,0.125,0.4750000000000001,0.3293250581846392,0.2890173410404624,0.55,0.4806629834254143,0.0999999999999999,0.1886792452830188,0.3513513513513513,0.4399999999999999,0.3823529411764705,0.0522406769037919,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
45,0.6000000000000001,isuzu D-Max ,0.272413793103448,0.2208955223880599,0.2750000000000003,0.3500000000000001,0.1497284716834755,0.1676300578034681,0.3499999999999998,0.4143646408839778,0.1733333333333333,0.1383647798742138,0.6756756756756754,1.0,0.7941176470588235,0.1190379191476026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
46,0.4,isuzu D-Max V-Cross,0.272413793103448,0.2208955223880599,0.2750000000000003,0.3500000000000001,0.1633048875096974,0.1676300578034681,0.3499999999999998,0.4143646408839778,0.1733333333333333,0.1383647798742138,0.6756756756756754,1.0,0.7941176470588235,0.1190379191476026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51,0.6000000000000001,mazda rx3,0.2241379310344826,0.2686567164179103,0.3250000000000002,0.5249999999999999,0.1559348332040341,0.1734104046242774,0.3499999999999998,0.4364640883977901,0.1333333333333333,0.1257861635220125,0.4594594594594592,0.6799999999999999,0.4411764705882353,0.002413036665622,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
52,0.6000000000000001,mazda glc deluxe,0.2241379310344826,0.2686567164179103,0.3250000000000002,0.5249999999999999,0.1598138091543832,0.1734104046242774,0.3499999999999998,0.4364640883977901,0.1333333333333333,0.1257861635220125,0.4594594594594592,0.72,0.6470588235294118,0.030617361328737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
53,0.6000000000000001,mazda rx2 coupe,0.2241379310344826,0.2686567164179103,0.3250000000000002,0.5249999999999999,0.1617532971295577,0.1734104046242774,0.3499999999999998,0.4364640883977901,0.1333333333333333,0.1257861635220125,0.4594594594594592,0.72,0.6470588235294118,0.0525540582889376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
54,0.6000000000000001,mazda rx-4,0.2241379310344826,0.383582089552239,0.3250000000000002,0.5249999999999999,0.1772692009309542,0.1734104046242774,0.3499999999999998,0.4364640883977901,0.1333333333333333,0.1257861635220125,0.4594594594594592,0.72,0.6470588235294118,0.0494202444374804,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
55,0.6000000000000001,mazda glc deluxe,0.2241379310344826,0.383582089552239,0.3250000000000002,0.5249999999999999,0.1792086889061287,0.1734104046242774,0.3857142857142859,0.4364640883977901,0.1333333333333333,0.1257861635220125,0.4594594594594592,0.72,0.6470588235294118,0.0713569413976809,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,0.6000000000000001,mazda 626,0.4206896551724135,0.5477611940298508,0.5166666666666666,0.4916666666666667,0.3479441427463149,0.3526011560693641,0.6071428571428574,0.5690607734806632,0.1066666666666665,0.2264150943396226,0.3513513513513513,0.52,0.4705882352941176,0.1167972422438107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
